comentario,etiqueta,anotador,dificil
Todos los demás están bien.,POS,A1,0
El profesor tiene buen conocimiento de la materia y es comprensible.,POS,A1,0
Debería ser más abierto con los estudiantes en cuanto a la enseñanza.,NEG,A1,0
"Es un profesor ideal, pero tiene que hacer su sistema de enseñanza más fácil.",NEU,A1,1
"un docente excelente. de verdad hace que el estudiante entienda muy bien en clase. después de entender, nuestro concepto queda absolutamente claro. da excelentes ejemplos relacionados con el mundo real para hacernos entender un tema. hace la clase muy interesante. en general, un docente excelente.",POS,A1,0
Es honesto conmigo.,POS,A1,0
"Siempre nos da tareas todo el tiempo, pero nos ensena un curso corto.",NEG,A1,1
"Es muy, muy estricta.",NEG,A1,0
"es un profesor nuevo en nuestra universidad, pero es un muy buen profesor.",POS,A1,0
"Persona muy educada, culta y de buen comportamiento. Muy agradable y muy respetable como profesor.",POS,A1,0
"Es el mejor en esta sección. Pero, profesor, sea constante.",POS,A1,0
Buen profesor. Fácil de entender,POS,A1,0
Tiene muy buen método de enseñanza.,POS,A1,0
Realmente es un profesor servicial.,POS,A1,0
"Es un profesor bueno e inteligente. Nos enseña bien, pero lo único es que no nos da tantas calificaciones como quisiéramos.",POS,A1,0
"No tengo ningún comentario sobre él, porque no puedo entenderlo bien.",NEU,A1,0
"Es un buen profesor, pero debería mejorar la interacción con los estudiantes",POS,A1,0
"Creo que tiene buen conocimiento de computación, pero debería seguir las diapositivas o el libro. A veces no sabemos cómo debemos estudiar ni de dónde. Es un buen profesor.",POS,A1,0
Tiene conocimientos limitados sobre este curso.,NEG,A1,0
"Se esfuerza al máximo, pero los estudiantes no logran aprender del todo.",NEU,A1,1
Es un profesor bien entrenado.,POS,A1,0
Es un robot.,NEG,A1,1
"Es una buena persona y tambien un buen profesor, pero su comportamiento no es muy bueno.",NEU,A1,1
Me cae bien por su inteligencia y su buen comportamiento.,POS,A1,0
"Lo que intenta hacernos entender, nunca lo comprendemos por su forma de hablar.",NEG,A1,0
Explica teorias complejas de una manera facil.,POS,A1,0
"Es un buen profesor pero su voz es muy baja, lo que dificulta entender con claridad y también dificulta escuchar lo que dice. Aun así, sabe dar ejemplos y conceptos relevantes. Debería subir la voz.",POS,A1,0
Es bueno enseñando. Pero,POS,A1,0
Es un buen profesor de finanzas.,POS,A1,0
Su forma de enseñar es realmente buena,POS,A1,0
"Ha sido muy efectivo y tiene un vasto conocimiento del tema. Es la persona indicada para impartir este curso; en una palabra, 'dinámico'. Debería mostrar un poco más su sonrisa.",POS,A1,0
Es muy buen profesor. Me gusta mucho. Creo que la mayoría de los profesores deberían ser como Emdad,POS,A1,0
